Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
11.txt	1	680	24.55	84.14	24.77	70.09	7.91	10.15	82.79	52.79	21.18	11.32	3.82	1.76	5.74	0.00	0.00	9.71	5.00	9.12	12.65	5.00	3.97	1.91	23.68	2.21	1.18	2.06	2.21	2.06	6.76	4.56	2.21	0.15	0.15	0.29	11.47	0.00	0.00	0.00	0.15	12.06	1.62	0.88	4.41	4.85	0.59	3.09	2.79	0.88	1.62	0.29	0.29	0.00	0.29	0.00	0.00	10.29	2.35	2.21	1.91	3.38	1.62	2.35	17.50	1.76	12.79	1.47	7.06	4.71	2.21	0.44	0.15	0.15	0.00	0.00	3.24	0.15	0.15	1.32	1.03	0.00	28.97	12.65	6.18	0.00	0.15	1.76	0.29	0.15	1.18	6.47	0.00	0.15
12.txt	1	633	32.44	94.28	17.20	91.98	9.04	12.64	84.99	52.76	19.12	12.64	3.16	2.53	6.00	0.79	0.16	6.48	4.42	11.85	11.06	5.37	5.69	2.37	18.96	2.69	1.26	1.90	2.21	2.84	5.69	4.90	0.79	0.16	0.00	0.00	15.32	0.32	0.16	0.79	0.16	14.38	1.74	3.32	3.48	3.32	1.74	2.53	1.26	0.47	0.63	0.32	0.00	0.00	0.00	0.00	0.00	9.95	3.63	1.11	2.53	1.58	1.74	2.37	16.27	1.11	12.16	1.90	4.11	6.48	3.00	0.16	0.32	0.16	0.00	0.00	2.84	0.00	0.16	1.74	0.95	0.00	22.91	8.85	4.58	0.00	0.16	3.16	0.00	0.63	0.32	5.06	0.00	0.16
13.txt	1	681	48.60	89.65	38.43	56.27	11.74	7.78	82.09	53.74	19.82	14.39	6.61	2.06	4.85	0.88	0.00	5.43	5.87	12.78	11.16	4.26	3.82	1.03	20.70	1.17	0.29	1.91	1.32	2.06	2.50	2.06	0.44	0.00	0.15	0.00	14.54	0.00	0.15	0.00	1.03	6.90	0.88	1.17	1.91	1.32	1.03	1.03	1.91	0.88	0.73	0.29	0.44	0.44	0.00	0.00	0.00	8.96	3.38	1.76	2.20	2.50	0.00	4.11	14.68	1.32	13.51	1.76	8.08	3.96	3.82	0.88	0.44	0.59	0.00	0.00	2.64	0.15	0.44	1.62	0.44	0.00	21.88	5.73	6.75	0.00	0.15	2.79	0.00	1.03	1.17	4.26	0.00	0.00
14.txt	1	314	24.58	77.77	45.89	86.47	8.49	15.61	80.57	50.96	22.29	17.20	8.92	0.32	6.69	1.27	0.00	5.10	3.82	10.19	14.01	3.18	3.18	1.91	20.70	1.91	1.59	2.23	1.91	0.96	4.78	4.14	0.64	0.32	0.32	0.00	13.06	0.00	0.32	0.00	1.59	6.05	0.64	1.27	0.64	1.91	0.96	1.27	1.59	1.27	0.32	0.00	0.00	0.00	0.00	0.00	0.00	6.69	1.59	0.64	2.87	1.91	0.00	3.50	13.38	2.55	11.46	1.91	6.37	3.18	5.73	0.32	0.00	3.82	0.00	0.00	1.91	0.32	0.32	0.96	0.32	0.00	30.89	9.87	7.64	0.00	0.00	4.14	0.96	0.32	1.27	6.69	0.00	0.00
15.txt	1	390	32.17	53.08	66.70	64.65	11.82	7.95	87.18	59.49	21.54	17.95	11.79	0.77	3.85	1.28	0.26	3.59	6.67	12.56	12.56	4.87	5.90	1.79	17.95	2.31	0.77	1.54	1.54	1.28	3.59	2.82	0.77	0.00	0.26	0.00	10.77	0.00	0.26	0.00	1.79	6.41	0.77	1.28	2.56	1.54	0.00	1.03	0.51	0.00	0.51	0.00	0.26	0.00	0.26	0.00	0.00	7.69	1.54	1.28	1.54	1.28	2.31	1.03	16.15	1.54	13.85	2.05	9.23	2.82	5.64	0.51	0.51	1.03	0.00	0.00	0.77	0.00	0.00	0.26	0.51	0.00	17.44	6.15	3.59	0.00	0.00	2.31	0.00	0.26	0.77	4.36	0.00	0.00
16.txt	1	188	25.15	50.00	71.83	66.07	10.44	10.11	87.23	55.85	21.28	15.96	9.57	0.00	4.26	1.60	0.53	5.32	3.72	12.23	10.11	6.38	5.85	2.66	22.87	2.66	1.06	2.66	1.06	1.60	5.32	3.72	1.60	0.00	1.60	0.00	12.77	0.53	0.00	1.06	1.06	15.96	3.72	1.06	2.13	4.79	1.60	4.79	1.06	0.00	0.53	0.53	0.00	0.00	0.00	0.00	0.00	7.98	0.53	1.06	3.19	2.66	0.53	2.66	20.74	1.60	10.11	1.06	6.91	2.66	4.79	1.06	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.28	7.98	4.79	0.00	0.00	1.06	0.53	0.00	0.00	6.91	0.00	0.00
17.txt	1	159	33.17	99.00	3.45	16.74	11.36	15.09	86.16	57.86	27.04	19.50	4.40	5.03	5.66	4.40	0.00	7.55	4.40	13.21	8.18	3.77	3.14	2.52	20.13	1.26	1.26	1.26	1.26	1.26	0.63	0.00	0.63	0.00	0.00	0.63	23.27	0.00	0.00	0.00	4.40	8.81	1.26	0.63	3.77	1.26	1.26	1.26	3.77	0.00	3.77	0.00	0.00	0.00	0.00	0.00	0.00	10.06	5.03	0.63	1.26	3.14	0.00	5.03	15.72	1.89	11.32	0.63	5.03	5.66	8.18	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.75	8.81	4.40	0.00	0.00	2.52	0.63	0.00	0.00	4.40	0.00	0.00
18.txt	1	230	57.62	86.15	5.32	74.37	10.45	9.57	77.83	50.00	17.83	11.30	3.91	0.87	3.48	2.17	0.87	6.52	7.39	10.87	11.74	3.04	2.17	1.74	20.87	1.30	0.43	2.61	3.48	1.74	2.61	2.61	0.00	0.00	0.00	0.00	12.61	0.00	0.87	0.43	2.61	10.87	3.04	1.30	2.61	2.61	0.87	0.43	2.17	0.43	1.74	0.00	0.00	0.00	0.00	0.00	0.00	4.35	1.30	0.43	2.17	0.87	0.00	3.91	15.65	1.74	8.70	0.43	4.78	3.48	3.91	0.00	0.00	3.04	0.00	0.00	1.30	0.00	0.00	0.87	0.43	0.00	28.26	6.52	8.26	0.00	0.00	3.48	0.00	0.00	1.74	6.96	0.00	1.30
19.txt	1	334	23.34	76.38	57.64	59.81	13.92	14.67	87.13	56.59	20.96	14.67	7.49	1.50	5.39	0.00	0.30	6.29	4.49	11.38	11.08	6.59	6.59	1.80	22.46	2.69	0.90	1.20	0.30	2.10	5.69	3.59	1.80	0.00	0.00	0.00	13.17	0.00	0.00	0.00	0.00	13.17	1.50	1.50	3.59	3.59	1.80	3.59	4.49	2.69	1.50	0.30	0.30	0.00	0.30	0.00	0.00	8.68	2.10	1.80	1.80	1.50	1.80	1.20	17.66	2.40	13.17	3.29	4.19	5.69	3.29	0.30	0.00	0.00	0.00	0.00	1.20	0.00	0.30	0.60	0.30	0.00	18.56	6.29	5.99	0.00	0.00	0.90	0.00	0.00	0.30	5.09	0.00	0.00
20.txt	1	213	44.17	64.65	60.11	52.17	12.53	7.98	83.10	56.34	20.19	14.55	7.98	1.41	1.88	0.94	2.35	5.63	8.45	11.74	11.74	4.23	5.63	1.41	19.25	1.88	0.00	0.94	1.88	0.00	2.35	1.88	0.47	0.00	0.00	0.00	11.27	0.00	0.00	0.94	0.47	8.92	1.41	2.35	1.41	1.41	0.94	1.41	1.88	0.47	1.41	0.00	0.00	0.00	0.00	0.00	0.00	6.57	1.41	0.47	1.88	2.35	0.47	1.88	12.68	2.35	14.08	0.94	10.33	3.76	4.23	0.00	0.94	0.94	0.00	0.00	1.88	0.00	0.00	0.47	1.41	0.00	25.82	6.10	7.98	0.00	0.47	1.88	0.00	0.47	1.41	7.51	0.00	0.00
21.txt	1	210	60.73	88.30	14.92	18.73	14.00	17.62	84.76	54.29	17.62	11.90	3.81	1.43	4.76	1.43	0.48	5.71	5.71	15.71	10.48	2.86	4.76	2.86	18.57	3.33	0.95	2.38	1.43	2.86	2.86	0.95	1.43	0.00	0.00	0.95	14.76	0.00	0.95	0.00	2.38	10.00	1.43	1.43	2.38	1.90	1.43	2.38	1.43	0.48	0.48	0.48	0.00	0.00	0.00	0.00	0.00	7.62	2.38	0.48	3.81	1.43	0.48	3.81	11.43	0.95	10.95	1.90	6.19	3.33	6.19	0.00	0.00	1.43	0.00	0.00	0.48	0.00	0.00	0.00	0.48	0.00	21.43	5.71	4.76	0.00	0.00	2.38	0.00	0.48	1.90	6.19	0.00	0.00
22.txt	1	535	32.54	60.33	35.01	71.40	8.92	9.72	77.94	49.35	18.69	11.40	6.92	0.75	2.43	1.31	0.00	7.29	6.17	8.79	12.15	4.30	4.86	2.24	21.31	1.31	0.75	2.43	4.11	0.75	4.30	3.36	0.93	0.19	0.19	0.19	11.78	0.00	0.00	1.31	0.00	9.53	1.31	1.12	2.43	2.62	0.75	2.99	2.06	0.37	1.31	0.37	1.12	0.19	0.56	0.00	0.37	4.67	2.24	0.37	1.31	1.12	0.00	3.55	16.45	1.68	11.21	1.68	4.86	5.42	3.55	0.00	0.19	1.50	0.00	0.00	3.93	0.19	0.93	1.87	0.75	0.00	26.36	8.60	6.54	0.19	0.19	2.62	0.00	0.56	0.93	6.73	0.00	0.00
23.txt	1	246	24.77	92.82	1.67	71.55	15.38	17.89	76.83	54.07	18.70	11.38	1.22	4.47	4.88	0.81	0.00	7.32	5.28	9.76	11.38	6.50	6.91	2.03	17.07	2.85	2.85	0.81	2.03	2.03	5.69	4.07	1.63	0.00	0.41	0.81	13.41	0.00	0.00	0.00	0.81	13.41	0.00	2.03	4.07	4.07	1.63	4.88	1.22	0.81	0.41	0.00	0.00	0.00	0.00	0.00	0.00	8.94	4.88	1.22	1.22	1.22	1.22	3.66	14.63	1.22	6.91	1.22	2.03	3.66	2.03	0.81	0.41	0.81	0.00	0.00	2.03	0.00	0.00	1.63	0.41	0.00	18.70	4.47	6.91	0.00	0.00	1.63	0.00	0.00	1.22	4.47	0.00	0.00
24.txt	1	280	49.65	90.06	38.74	83.08	7.00	10.71	80.71	46.43	16.79	13.93	6.43	1.43	5.00	0.36	0.71	2.86	7.14	9.64	10.36	5.36	4.29	1.07	17.86	2.50	0.00	1.79	3.21	0.71	3.93	3.57	0.36	0.00	0.00	0.00	14.29	0.00	0.00	0.36	0.00	5.71	1.43	0.71	2.50	0.71	0.71	0.36	2.86	0.00	2.50	0.36	0.00	0.00	0.00	0.00	0.00	6.43	2.50	0.36	1.43	1.79	0.71	2.50	13.93	1.43	13.93	1.43	8.21	5.36	5.71	1.07	1.07	1.07	0.00	0.00	4.29	0.00	0.00	1.79	2.14	0.00	30.71	14.29	7.50	0.00	0.00	2.50	0.00	0.36	0.00	6.07	0.00	0.00
25.txt	1	362	65.24	79.63	35.58	95.50	7.87	16.30	72.38	47.24	15.47	11.60	4.70	0.83	4.97	1.10	0.00	3.87	6.91	11.05	11.05	2.76	3.59	0.55	15.75	2.21	1.66	1.66	2.76	1.66	4.70	4.70	0.00	0.00	0.00	0.00	9.39	0.00	0.55	0.00	1.10	5.80	0.55	0.28	2.21	1.38	0.28	1.66	0.28	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.25	1.10	1.93	3.04	0.83	0.00	0.55	13.26	2.76	15.19	1.10	4.97	9.39	1.93	1.10	0.00	0.28	0.00	0.00	2.21	0.00	0.00	1.66	0.55	0.00	25.14	11.60	5.25	0.55	0.00	2.76	0.00	0.55	0.55	3.87	0.00	0.00
26.txt	1	107	68.97	84.81	12.23	25.77	13.38	13.08	82.24	57.94	15.89	12.15	5.61	3.74	2.80	0.00	0.00	3.74	9.35	15.89	10.28	4.67	7.48	0.93	18.69	2.80	2.80	1.87	0.00	2.80	3.74	1.87	1.87	0.00	0.93	0.93	10.28	0.00	0.00	0.00	0.93	7.48	0.00	1.87	1.87	2.80	0.93	0.00	1.87	0.93	0.93	0.00	2.80	0.93	1.87	0.00	0.00	8.41	3.74	0.93	1.87	1.87	0.00	8.41	10.28	0.93	10.28	1.87	3.74	5.61	3.74	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.93	0.00	0.00	0.00	16.82	6.54	2.80	0.00	0.00	0.93	0.00	2.80	0.00	2.80	0.00	0.93
27.txt	1	88	61.00	97.95	25.48	94.75	11.00	13.64	82.95	52.27	15.91	13.64	3.41	4.55	5.68	0.00	0.00	2.27	9.09	9.09	12.50	3.41	3.41	0.00	15.91	4.55	0.00	1.14	0.00	4.55	6.82	5.68	1.14	0.00	0.00	0.00	14.77	0.00	0.00	0.00	0.00	9.09	1.14	1.14	1.14	4.55	1.14	1.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.36	6.82	3.41	2.27	0.00	0.00	1.14	12.50	1.14	12.50	2.27	6.82	3.41	6.82	1.14	0.00	1.14	0.00	0.00	1.14	0.00	0.00	0.00	1.14	0.00	14.77	5.68	3.41	0.00	1.14	3.41	0.00	0.00	0.00	0.00	0.00	1.14
28.txt	1	159	5.96	42.51	81.66	49.16	5.68	11.95	80.50	50.94	27.67	20.75	15.72	0.00	5.03	0.00	0.00	6.92	1.89	5.66	10.06	5.03	5.66	1.89	13.21	4.40	1.26	2.52	0.00	0.63	7.55	4.40	3.14	0.63	0.00	1.26	11.95	0.00	0.00	0.00	0.00	8.81	1.89	1.26	1.26	1.26	1.89	1.26	4.40	0.63	3.14	0.63	0.63	0.63	0.00	0.00	0.00	8.81	2.52	1.89	5.03	0.63	1.26	1.89	11.32	0.63	8.81	1.26	5.03	2.52	3.14	0.00	0.00	0.00	0.00	0.00	0.63	0.00	0.00	0.63	0.00	0.00	26.42	13.84	4.40	0.00	0.63	3.77	0.00	0.00	0.00	3.77	0.00	0.00
29.txt	1	156	11.42	35.01	81.06	25.77	8.21	10.26	82.69	57.05	22.44	17.95	14.10	0.00	3.85	0.00	0.00	4.49	4.49	8.97	14.10	6.41	7.05	1.28	19.87	3.21	0.00	1.28	1.28	0.64	7.69	3.85	3.85	1.28	0.64	0.64	8.97	0.00	0.64	0.00	0.00	3.85	0.00	0.00	1.92	0.00	0.64	1.28	0.00	0.00	0.00	0.00	1.28	0.00	0.00	0.00	0.64	4.49	2.56	0.64	0.64	0.64	0.64	6.41	13.46	0.64	12.82	3.21	5.13	4.49	3.21	0.64	0.64	0.00	0.00	0.64	1.28	0.00	0.00	0.00	1.28	0.00	26.28	10.26	7.69	0.00	0.00	1.92	0.64	0.00	0.00	5.77	0.00	0.00
30.txt	1	212	15.13	30.18	79.50	13.09	8.48	6.13	82.55	55.19	23.11	18.87	13.68	0.00	4.72	0.47	0.00	4.25	4.72	6.60	11.79	5.19	5.19	1.42	16.04	3.77	1.42	2.83	0.00	0.94	4.72	1.89	2.83	0.00	1.42	0.94	9.43	0.00	0.47	0.00	0.94	8.49	0.94	1.42	0.47	0.47	1.89	3.30	2.83	0.94	1.42	0.47	0.00	0.00	0.00	0.00	0.00	7.55	1.42	0.00	3.77	2.83	0.47	3.30	16.04	0.94	8.96	0.00	3.77	5.66	3.30	0.00	0.00	0.00	0.47	0.00	1.89	0.94	0.00	0.47	0.94	0.00	21.23	7.55	7.08	0.00	0.47	4.72	0.00	0.00	0.00	1.42	0.00	0.00
31.txt	1	72	65.75	98.11	3.01	51.78	9.00	8.33	73.61	47.22	16.67	13.89	1.39	8.33	4.17	0.00	0.00	2.78	8.33	9.72	9.72	1.39	1.39	4.17	20.83	0.00	0.00	0.00	12.50	0.00	1.39	1.39	0.00	0.00	0.00	0.00	15.28	0.00	0.00	0.00	0.00	9.72	0.00	5.56	2.78	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.50	8.33	0.00	1.39	2.78	0.00	2.78	12.50	1.39	9.72	4.17	2.78	2.78	6.94	1.39	0.00	0.00	0.00	0.00	1.39	0.00	0.00	1.39	0.00	0.00	27.78	9.72	5.56	0.00	0.00	1.39	0.00	6.94	0.00	4.17	0.00	0.00
32.txt	1	1128	19.70	50.35	58.25	79.19	8.81	9.04	89.01	57.62	22.25	14.72	8.95	0.35	4.79	0.35	0.27	7.54	3.63	11.52	13.92	4.79	4.26	2.84	21.37	4.43	1.77	1.95	0.98	2.22	6.74	4.79	1.86	0.00	0.09	0.89	10.02	0.18	0.09	0.27	0.35	12.85	2.39	0.89	2.84	3.28	1.60	3.28	1.24	0.62	0.53	0.18	0.18	0.00	0.18	0.00	0.00	7.89	1.24	2.22	2.39	2.57	0.80	2.84	18.97	1.68	10.82	1.42	4.34	5.05	3.90	0.18	0.35	0.27	0.00	0.00	3.01	0.00	0.09	1.60	1.24	0.09	23.67	9.84	5.59	0.00	0.00	1.95	0.09	0.00	0.00	4.52	0.00	1.68
33.txt	1	587	34.38	81.67	19.52	93.04	10.30	14.65	83.65	53.15	21.12	16.35	7.50	2.39	4.77	1.36	0.34	4.77	3.58	11.41	11.75	4.43	2.56	1.70	19.76	3.41	1.02	1.19	0.00	1.70	5.62	4.94	0.68	0.00	0.17	0.34	13.63	0.00	0.00	1.36	0.85	11.07	1.36	1.02	4.26	2.56	0.85	2.56	3.41	2.90	0.34	0.17	0.68	0.17	0.51	0.00	0.00	9.03	3.24	0.17	2.73	1.70	1.53	2.04	14.82	2.04	10.05	0.51	5.96	3.41	3.07	0.00	0.00	1.70	0.00	0.00	2.56	0.00	0.00	1.19	1.36	0.00	18.23	7.50	4.77	0.00	0.00	2.21	0.17	1.02	0.00	1.53	0.34	0.68
34.txt	1	314	23.88	48.73	68.46	49.48	14.27	13.06	86.62	56.05	18.47	12.42	7.96	1.91	1.59	0.64	0.32	6.05	4.78	11.15	14.65	6.37	4.78	2.55	17.83	4.78	1.27	0.96	1.59	1.91	6.05	3.50	2.23	0.32	0.32	0.00	9.55	0.00	0.00	0.00	0.64	10.83	1.27	1.91	2.23	3.18	1.59	2.87	1.59	0.32	0.32	0.96	0.32	0.00	0.32	0.00	0.00	9.24	4.46	0.64	3.18	1.27	1.27	3.18	14.97	1.59	14.65	2.23	7.01	5.73	3.82	0.00	0.00	0.64	0.00	0.00	3.18	0.00	0.32	1.27	1.59	0.00	20.38	5.10	6.37	0.32	0.00	1.91	0.00	0.64	0.00	4.78	0.00	1.27
35.txt	1	673	60.06	76.67	37.99	97.40	10.20	14.41	78.01	49.63	16.49	13.22	7.43	0.15	5.50	0.00	0.15	3.27	6.84	10.85	11.59	2.38	3.12	1.49	16.79	1.78	1.04	1.19	0.74	0.45	6.69	5.94	0.74	0.30	0.00	0.45	12.93	0.00	0.74	0.00	0.00	11.14	1.34	1.93	2.53	1.63	1.63	2.38	0.89	0.45	0.45	0.00	0.00	0.00	0.00	0.00	0.00	4.16	2.08	0.59	2.23	0.00	0.30	2.38	13.08	1.78	10.55	2.82	2.97	4.31	1.04	0.00	2.23	0.74	0.00	0.00	0.89	0.00	0.00	0.74	0.15	0.00	17.83	7.58	3.71	0.59	0.00	2.08	0.15	0.30	0.59	1.34	0.00	1.49
